time=2026-09-14T22:08:35.583+02:00 level=INFO msg="build info" version=dev commit=none built=unknown
time=2026-09-14T22:08:36.661+02:00 level=INFO msg="access_logs isolated in separate audit database (RD-1147); lean audit schema migrated via admin pool"
time=2026-09-14T22:08:36.663+02:00 level=INFO msg="using Redis-backed state stores" url=redis://:%2A%2A%2A@127.0.0.1:32783/0
time=2026-09-14T22:08:36.663+02:00 level=INFO msg="runtime tracing enabled" cache_ttl=10s timeout=30s tiered=false
time=2026-09-14T22:08:36.663+02:00 level=INFO msg="travel rule compliance enabled" record_expiry=24h0m0s default_enforcement_mode=enforce
time=2026-09-14T22:08:36.663+02:00 level=INFO msg="CoinGecko price fetching is DISABLED"
time=2026-09-14T22:08:36.697+02:00 level=INFO msg="async access-log auditing enabled (RD-1112)" buffer_dir=<repo>/.tmp/besu-approval-runs/bench-off-1789416509014059000/audit-buffer
time=2026-09-14T22:08:36.697+02:00 level=INFO msg="retention cleaner started" access=2160h0m0s compliance=61320h0m0s rbac=8760h0m0s travel=61320h0m0s interval=1h0m0s max_access_log_rows=0
time=2026-09-14T22:08:36.697+02:00 level=INFO msg="visibility reconciler started" backstop_interval=5s batch=100 drain=event-driven
time=2026-09-14T22:08:36.697+02:00 level=INFO msg="audit chain integrity verifiers started (RD-1147: access_logs on audit DB, rbac_audit_log on main DB)" interval=15m0s siem_notify=false webhook_notify=false
time=2026-09-14T22:08:36.697+02:00 level=INFO msg="starting Open Privacy Suite server" port=65530
time=2026-09-14T22:08:36.697+02:00 level=INFO msg="node URL configured" url=http://127.0.0.1:65513
time=2026-09-14T22:08:36.697+02:00 level=INFO msg="retention: deleting old records" table=access_logs retention=2160h0m0s cutoff=2026-06-16T20:08:36Z
time=2026-09-14T22:08:36.703+02:00 level=INFO msg="retention: deleting old records" table=compliance_logs retention=61320h0m0s cutoff=2019-09-16T20:08:36Z
time=2026-09-14T22:08:36.704+02:00 level=INFO msg="retention: deleting old records" table=rbac_audit_logs retention=8760h0m0s cutoff=2025-09-14T20:08:36Z
time=2026-09-14T22:08:36.705+02:00 level=INFO msg="retention: deleting old records" table=travel_records retention=61320h0m0s cutoff=2019-09-16T20:08:36Z
[GIN] 2026/09/14 - 22:08:36 | 200 | 73.334µs |       127.0.0.1 | GET      "/health"
[GIN] 2026/09/14 - 22:08:36 | 201 |  10.55ms |       127.0.0.1 | POST     "/api/v1/admin/orgs"
[GIN] 2026/09/14 - 22:08:36 | 201 |   5.49ms |       127.0.0.1 | POST     "/api/v1/admin/orgs"
[GIN] 2026/09/14 - 22:08:36 | 201 |   6.14ms |       127.0.0.1 | POST     "/api/v1/admin/orgs/4de6d964-42ec-4197-aba0-5120d7a362a9/groups"
[GIN] 2026/09/14 - 22:08:36 | 200 |   8.18ms |       127.0.0.1 | PUT      "/api/v1/admin/orgs/4de6d964-42ec-4197-aba0-5120d7a362a9/groups/3da4e238-7c3c-4983-896a-e5122ba6a407/access"
[GIN] 2026/09/14 - 22:08:36 | 200 |   1.28ms |       127.0.0.1 | POST     "/auth/request"
[GIN] 2026/09/14 - 22:08:36 | 200 |   9.98ms |       127.0.0.1 | POST     "/auth/verify"
[GIN] 2026/09/14 - 22:08:36 | 200 |   2.55ms |       127.0.0.1 | GET      "/api/v1/admin/users?search=did%3Atest%3Abesu-demo-alice"
[GIN] 2026/09/14 - 22:08:36 | 200 |   6.02ms |       127.0.0.1 | PUT      "/api/v1/admin/users/16a14435-d401-4d2b-a2ab-0f51bedfb1ec"
[GIN] 2026/09/14 - 22:08:36 | 200 | 527.042µs |       127.0.0.1 | GET      "/api/v1/admin/users/16a14435-d401-4d2b-a2ab-0f51bedfb1ec/memberships"
[GIN] 2026/09/14 - 22:08:36 | 200 |   5.33ms |       127.0.0.1 | DELETE   "/api/v1/admin/users/16a14435-d401-4d2b-a2ab-0f51bedfb1ec/memberships/8e35159f-46f4-46c1-95af-115ce2a05f79"
[GIN] 2026/09/14 - 22:08:36 | 201 |   4.29ms |       127.0.0.1 | POST     "/api/v1/admin/users/16a14435-d401-4d2b-a2ab-0f51bedfb1ec/memberships"
[GIN] 2026/09/14 - 22:08:36 | 200 | 582.625µs |       127.0.0.1 | POST     "/auth/request"
[GIN] 2026/09/14 - 22:08:36 | 200 |   2.96ms |       127.0.0.1 | POST     "/auth/verify"
[GIN] 2026/09/14 - 22:08:36 | 200 | 729.666µs |       127.0.0.1 | POST     "/api/v1/eth/link/challenge"
[GIN] 2026/09/14 - 22:08:36 | 200 |   7.05ms |       127.0.0.1 | POST     "/api/v1/eth/link/verify"
[GIN] 2026/09/14 - 22:08:36 | 200 | 793.375µs |       127.0.0.1 | POST     "/auth/request"
[GIN] 2026/09/14 - 22:08:36 | 200 |   11.7ms |       127.0.0.1 | POST     "/auth/verify"
[GIN] 2026/09/14 - 22:08:36 | 200 |   1.63ms |       127.0.0.1 | GET      "/api/v1/admin/users?search=did%3Atest%3Abesu-demo-operator"
